utterance,expected
"• Street parking only costs?
I don't like a ladder in the middle of",faq
"Additional information, where are you located?",faq
Address,faq
also do y'all have in unit washer & dryer?,faq
also what are the details of the move-in/furniture promotion?,faq
"Also, what leasing options do you offer?",faq
Am I allwed to customize the flat?,faq
And what about the utilities ?,faq
Any specials,faq
Application please,faq
"Are furnished units available? If yes, what furnishings are included?",faq
Are guest allowed ?,faq
"Are lease guarantors allowed? If yes, what are your policies/requirements for lease guarantors?",faq
Are people with a broken lease history allowed,faq
Are the heaters built in?,faq
Are there any extra utility charges,faq
Are there coolers in the apartment,faq
are there workout facilities,faq
"Are you friendly pets, have a dryer and washers in the apartment?",faq
As well as a guarantor,faq
"Awesome, this is a great space and am really interested. What is the application process and how can I start?",faq
be laundry extra,faq
be park extra,faq
be renter insurance mandatory,faq
be sublease allow,faq
be subleasing allow,faq
be there a four wheeler parking,faq
be there a gym available,faq
be there a gym for resident,faq
be there a laundry room onsite,faq
be there a parking space,faq
be there a pool in the property,faq
be there any income requirement,faq
be there any utility offerre,faq
Because the other units are in soma area,faq
bicycle parking available?,faq
Can i charge my Prius,faq
Can i charge my Tesla,faq
can i get a short term lease,faq
Can i get interior done for my apartment,faq
Can i get multile lease options with this community?,faq
Can i have cigarettes in building,faq
Can i have my family or friends over,faq
Can I have your address,faq
can i lease on a month to month basis,faq
Can I opt for mulitple lease options?,faq
Can i see the property online or in person?,faq
can resident sublease,faq
can resident sublet,faq
Can you please text me which apartment ?,faq
Can you send me the address,faq
"Can you send me the address again, I'm not sure I have the right one",faq
Can you send me the application,faq
Can you send over the location,faq
Can you tell me about the current promotion?,faq
Can you tell me what do I need to have to lease,faq
common area,faq
do -PRON- allow sublease,faq
do -PRON- come with onsite laundry,faq
do -PRON- guy have a pool for resident to use,faq
do -PRON- have a fitness center,faq
do -PRON- have a gym,faq
do -PRON- have a pool onsite,faq
do -PRON- have any hard income requirement,faq
do -PRON- have exercise facility,faq
do -PRON- have income requirement,faq
do -PRON- need renter insurance,faq
do -PRON- require renter insurance,faq
Do apartment building have business center?,faq
do be have in unit laundry,faq
Do community have business center?,faq
Do i have to have a job,faq
Do i have to opt in for insurance,faq
Do i need a backer,faq
Do I need a lease guarantor,faq
Do I need a minimum credit score,faq
Do I need to have a good credit history?,faq
Do the apartments have ceiling fans?,faq
do the landlord pay for water,faq
do utility cost more,faq
Do yall have any move in specials,faq
Do yall work with eviction and broken lease,faq
"Do you accept applicants with broken lease or eviction history? If yes, how long ago must their broken lease or eviction have been?",faq
Do you accept applicants with felonies on their record?,faq
Do you accept HUD Housing Vocher,faq
Do you accept section 8 voucher,faq
Do you all accept section 8?,faq
Do you allow lease guarantors?,faq
Do you allow Section 8 or other housing programs? Please describe.,faq
Do you have a move in special ?,faq
Do you have a move in special?,faq
Do you have a parking area?,faq
do you have a pool,faq
do you have a swimming place,faq
Do you have any availability on Sunday?,faq
"Do you have any current leasing specials, offers, or promotions?",faq
Do you have any specials,faq
Do you have ceiling fans?,faq
Do you have electric car charging?,faq
do you have gymnasium,faq
do you have health club,faq
Do you have in unit washer and drier,faq
Do you have insurance for renters,faq
Do you have pool?,faq
Do you have swimming pool,faq
Do you have swimming pool?,faq
Do you Have washer and dryer hook up?,faq
Do you provide renter insurance,faq
Do you take section 8 vouchers,faq
Do you work with felonies?,faq
Does the AC reach every room,faq
Does the apartment include furniture,faq
Does the community feature a spa/hot tub/jacuzzi?,faq
"Does the community have air conditioning? If yes, what is the type of air conditioning?",faq
Does the property offer a private bathroom and bedroom ?,faq
Does this community feature a hot tub,faq
Does this community feature a jacuzzi,faq
Does this community feature a spa,faq
Does this community feature air conditioning?,faq
Does this community feature outdoor spaces?,faq
Does water goes include with the rent?,faq
"Good morning, before doing so can I confirm if there are in unit washer and dryers?",faq
"Great, when can we set one up? And can you tell me a little more about the units you have available please and the application process?",faq
hello your location is in dallas tx?,faq
"Hello, I think I'm at the apartment. #33 was that right?",unknown
"Hello, thank you. What is the location of the 1 bedroom apartment?",faq
hello! i actually have some questions regarding utility prices and move in dates first,faq
Hello! I'm at the apartment. I'm not sure where to go,unknown
"Hello! Thank you for your message, I'm at work so texting helps. But I wanted to know if you work with broken leases? I have one from 2 yrs ago. I live with a family member but me and my partner are looking for a 1 bedroom",faq
Hi do you guys have any move in specials at the moment,faq
"Hi Kelsey, do you offer furnished apartments? Also, is there an option for month to month leases?",faq
"Hi Kelsey, sorry for the late reply. Just wonder do you provide 3 month lease for studio?",faq
"Hi Kelsey, thank you for reaching out! Before I come in I just have a couple of questions. What amenities do you offer at the property?",faq
"Hi Ryan 
Is it co living or separate?",faq
"hi ryan, i was looking to learn more about the apartment and the requirements for applicant consideration.",faq
"Hi, I believe I already sent in my application and was told it is being processed",faq
"Hi, I would like to know if a Guarantor is required and if there is a security deposit?",faq
Hours of operation,faq
how about a gym,faq
How are utilities billed to residents?,faq
How can i see the house/property?,faq
How do I do the application,faq
how do i get there,faq
How do i get to the lease office,faq
How do i measure a good credit record,faq
how long of lease do -PRON- offer,faq
How many charging ports are available,faq
how many parking spot do -PRON- come with,faq
how much be the laundry per load,faq
How much does utility cost by month,faq
How to locate the property,faq
"I am a felon, will be eligible",faq
i be just wonder what be the amenity here,faq
I currently stay in Irving but I am relocating down to that area. Would credit or background be an issue?,faq
"I filled out application online
Please check status",faq
I got a question I filled out my application,faq
I have a application I will bring it tomorrow at 12:00,faq
I have a car hard to park,faq
I have a voucher for housing do you accept Positive Vibes Only,faq
I have completed my application and paid online,faq
I just submitted the application,faq
I just want to know if I can park in that space while waiting for my apt,faq
I just wanted to know more about utilities and amenities,faq
I need talk to the leasing office,faq
I need to know what your move in requirements are.,faq
"I want to do the refurnishing for my apartment, Will it be allowed",faq
I want to know if it has been approved,faq
i was also seeing if water/ electricity are included,faq
I was wondering if you have similar promo for a studio apt?,faq
I'm curious as to what utilities are included into the monthly rent; if any. I've been considering moving to Houston for a decent while now and need somewhere somewhat safe and in a reliable area and considered your area to be as such.,faq
I'm fill out the application and then let you know,faq
I'm not able to come to houston but I would love to know if y'all go short term leases. I am only staying in town for the summer,faq
"I'm sorry,looking for all bills paid for now thanks for your help",faq
In unit W/D,faq
Is all utilities included garbage electricity heat,faq
Is credit check required,faq
Is it a live tour or prerecorded?,faq
Is renters insurance required?,faq
is smoking allowed,faq
"Is smoking allowed at the community? If yes, what areas can residents smoke in?",faq
Is subleasing allowed?,faq
Is that close to Sugarland?,faq
Is the 2/13 in person or can I do it via a video call with an agent?,faq
Is the apartment furnished?,faq
Is the electric included,faq
Is the property in HISD?,faq
Is there a business center?,faq
Is there a central Air conditioners in the community?,faq
"Is there a fitness facility? If yes, what equipment is available?",faq
"Is there a guest policy? Please describe. Additionally, if you have a guest policy posted online, please paste the link here.",faq
"Is there a pool? If yes, is it an indoor our outdoor pool?",faq
"Is there a shared laundry facility or in-unit laundry at this community? If yes, please describe.",faq
Is there any business center in community?,faq
Is there any heater system?,faq
Is there bicycle parking onsite?,faq
"Is there bicycle parking onsite? If yes, is it covered?",faq
Is there business center in apartment?,faq
"Is there cycle parking onsite? If yes, is it covered?",faq
"Is there electric car charging? If yes, is the charging available for personal parking spaces or designated spaces?",faq
is there on street parking available for guests,faq
Is utilities included and heat,faq
Is utility more expensive during the winter,faq
Laundry Facilities,faq
Location??,faq
Morning do you have some unit whit 2 beds?,unitAssignment
My first question would be. Do you accept applicants with broken lease?,faq
New tenant application process?,faq
"Oh dang, what address was the other location?",faq
Ok can I park at your office,faq
OK can you please email me a application?,faq
ok great! i had a quick question regarding income requirements is that something i could ask you?,faq
"Ok, I can be there 4-4:15. Ok for you? Parking?",unknown
Ok. Is the live tour an option?,faq
"Okay, when will my application be reviewed",unknown
"On the website it said a live video tour was an option, not just a recorded video",faq
One more question is there any utilities included in the rent?,faq
Parking,faq
Parking?,faq
Perfect. Could you please share pictures of the interior of the units that are up for rent,faq
Please describe the amenities the community offers.,faq
Really a studio or 1 bed,faq
Says street parking only,faq
So can you send me the application,unknown
Sometime this week and can you send me the address please,faq
Start an app and I'm waiting for an approval response.,faq
swimming pool,faq
Thanks so much! How long is the lease may I ask?,faq
Thanks! Are there any units available with balcony?,faq
The application and guarantor application,faq
This place must be very nice,faq
This the address?,faq
To what extent can a tenant customize their apartment?,faq
Utility billing,faq
What all comes with it ?,faq
What all things are there in common area,faq
what all things are there in outer space,faq
What amenities do you offer at the property?,faq
what are all the utilities included,faq
What are all your requirements,faq
What are some nearby attractions or points of interest?,faq
What are the amenities? Is there a washer dryer in unit?,faq
What are the differences between the units? And is there a washer and drier available,faq
What are the parking options at the community?,faq
What are the requirements to get an apartment there ?,faq
What are the utilities included?,faq
What are your requirements ?,faq
what be -PRON- income requirement,faq
what be the address,faq
what be the good feature of this apartment,faq
what be the location,faq
what cool amenity do -PRON- have,faq
what do i need to qualified,faq
What does the apartment include?,faq
What does your credit score have to be?,faq
what equipment are there in gym?,faq
what general amenity do this have,faq
What holidays do you observe during which your leasing offices will be closed or have special hours?,faq
What holidays does your leasing office observe and how does that affect their hours?,faq
What info do I need to fill out application for 1bedroom,faq
what is included in the common area,faq
What is included with the rent ?,faq
What is the address of the community?,faq
What is the address of the leasing office?,faq
What is the income proof document required,faq
What is the income requirement?,faq
What is the lease lock in time,faq
What is the minimum credit score requirement?,faq
What is the minimum income requirement,faq
What is the phone number for the leasing office?,faq
What is the process for application submission ?,faq
What is the walk score,faq
What is your eviction policy?,faq
what kind of amenity do -PRON- have,faq
what kind of amenity do this place have,faq
what kind of utility be include in -PRON- rent,faq
what lease option do -PRON- have,faq
What lease options are available?,faq
what length of lease do -PRON- guy have,faq
What places are accessible around the property,faq
What sort of common areas does this community feature?,faq
What space do I park in today,faq
What type of heating system do your units feature?,faq
what type of lease do -PRON- offer,faq
what utilities if any are included in the rent?,faq
what utility,faq
what utility be offer in rent,faq
What's included in rent?,faq
What's the location,faq
What's the name of this apartment and location please .,faq
